TeamID,Attendance_2013,Avg_Attendance_2013,Attendance_2014,Avg_Attendance_2014,Attendance_2015,Avg_Attendance_2015
ARI,2134895,26357,2073730,25602,2080145,25681
ATL,2548679,31465,2354305,29065,2001392,24709
BAL,2357561,29106,2464473,30426,2281202,29246
BOS,2833333,34979,2956089,36495,2880694,35564
CHC,2642682,32626,2652113,32742,2919122,36039
CHW,1768413,21832,1650821,20381,1755810,21677
CIN,2492101,31151,2476664,30576,2419506,29870
CLE,1572926,19419,1437393,17746,1388905,17361
COL,2793828,34492,2680329,33090,2506789,30948
DET,3083397,38067,2917209,36015,2726048,33655
HOU,1651883,20394,1751829,21628,2153585,26587
KCR,1750754,21614,1956482,24154,2708549,33439
LAA,3019505,37278,3095935,38221,3012765,37195
LAD,3743527,46216,3782337,46696,3764815,46479
MIA,1586322,19584,1732283,21386,1752235,21633
MIL,2531105,31248,2797384,34536,2542558,31390
MIN,2477644,30588,2250606,27785,2220054,27408
NYM,2135657,26366,2148808,26528,2569753,31725
NYY,3279589,40489,3401624,41995,3193795,39430
OAK,1809302,22337,2003628,24736,1768175,21829
PHI,3012403,37190,2423852,29924,1831080,22606
PIT,2256862,27862,2442564,30155,2498596,30847
SDP,2166691,26749,2195373,27103,2459752,30367
SEA,1761546,21747,2064334,25486,2193581,27081
SFG,3369106,41087,3368697,41589,3375882,41678
STL,3369769,41602,3540649,43712,3520889,43468
TBR,1510300,18646,1446464,17858,1287054,15322
TEX,3178273,38759,2718733,33565,2491875,30764
TOR,2536562,31316,2375525,29327,2794891,34505
WSN,2652422,32746,2579389,31844,2619843,32344
