TeamID,Attendance,Avg_Attendance
ARI,2134895,26357
ATL,2548679,31465
BAL,2357561,29106
BOS,2833333,34979
CHC,2642682,32626
CHW,1768413,21832
CIN,2492101,31151
CLE,1572926,19419
COL,2793828,34492
DET,3083397,38067
HOU,1651883,20394
KCR,1750754,21614
LAA,3019505,37278
LAD,3743527,46216
MIA,1586322,19584
MIL,2531105,31248
MIN,2477644,30588
NYM,2135657,26366
NYY,3279589,40489
OAK,1809302,22337
PHI,3012403,37190
PIT,2256862,27862
SDP,2166691,26749
SEA,1761546,21747
SFG,3369106,41087
STL,3369769,41602
TBR,1510300,18646
TEX,3178273,38759
TOR,2536562,31316
WSN,2652422,32746
