parkID,Name,Year,Capacity
LON01,Olympic Stadium,2019,60000
OMA01,TD Ameritrade Park,2019,24000
SJU01,Estadio Hiram Bithorn,2019,19000
MNT01,Estadio Monterrey,2019,27000
ANA01,Angel Stadium of Anaheim,2019,45505
ARL02,Globe Life Park,2019,49115
ATL03,SunTrust Park,2019,41149
BAL12,Oriole Park at Camden Yards,2019,45971
BOS07,Fenway Park,2019,37731
CHI11,Wrigley Field,2019,41649
CHI12,Guarantee Rate Park,2019,40615
CIN09,Great American Ballpark,2019,42319
CLE08,Progressive Field,2019,35225
DEN02,Coors Field,2019,50398
DET05,Comerica Park,2019,41297
HOU03,Minute Maid Park,2019,41168
KAN06,Kauffman Stadium,2019,37903
LOS03,Dodger Stadium,2019,54500
MIA02,Marlins Park,2019,36742
MIL06,Miller Park,2019,41900
MIN04,Target Field,2019,38649
NYC20,Citi Field,2019,41922
NYC21,New Yankee Stadium,2019,47309
OAK01,RingCentral Coliseum,2019,46785
PHI13,Citizens Bank Park,2019,43674
PHO01,Chase Field,2019,48519
PIT08,PNC Park,2019,38362
SAN02,Petco Park,2019,42445
SEA03,T-Mobile Park,2019,47943
SFO03,Oracle Park,2019,41915
STL10,Busch Stadium III,2019,45538
STP01,Tropicana Field,2019,25025
TOR02,Rogers Centre,2019,53506
WAS11,Nationals Park,2019,41922
SJU01,Estadio Hiram Bithorn,2018,19000
MNT01,Estadio Monterrey,2018,27000
ANA01,Angel Stadium of Anaheim,2018,45505
ARL02,Globe Life Park,2018,48114
ATL03,SunTrust Park,2018,41149
BAL12,Oriole Park at Camden Yards,2018,45971
BOS07,Fenway Park,2018,37949
CHI11,Wrigley Field,2018,41072
CHI12,Guarantee Rate Park,2018,40615
CIN09,Great American Ballpark,2018,42319
CLE08,Progressive Field,2018,38000
DEN02,Coors Field,2018,50398
DET05,Comerica Park,2018,41681
HOU03,Minute Maid Park,2018,42060
KAN06,Kauffman Stadium,2018,37903
LOS03,Dodger Stadium,2018,54500
MIA02,Marlins Park,2018,41418
MIL06,Miller Park,2018,41900
MIN04,Target Field,2018,39021
NYC20,Citi Field,2018,41922
NYC21,New Yankee Stadium,2018,49642
OAK01,Oakland Coliseum,2018,47170
PHI13,Citizens Bank Park,2018,43651
PHO01,Chase Field,2018,48633
PIT08,PNC Park,2018,38362
SAN02,Petco Park,2018,40209
SEA03,Safeco Field,2018,47476
SFO03,AT&T Park,2018,41915
STL10,Busch Stadium III,2018,43975
STP01,Tropicana Field,2018,31042
TOR02,Rogers Centre,2018,49282
WAS11,Nationals Park,2018,41418
WIL02,Bowman Field,2018,2366
ANA01,Angel Stadium of Anaheim,2017,45505
ARL02,Globe Life Park,2017,48114
ATL03,SunTrust Park,2017,41149
BAL12,Oriole Park at Camden Yards,2017,45971
BOS07,Fenway Park,2017,37949
CHI11,Wrigley Field,2017,41072
CHI12,Guarantee Rate Park,2017,40615
CIN09,Great American Ballpark,2017,42319
CLE08,Progressive Field,2017,38000
DEN02,Coors Field,2017,50398
DET05,Comerica Park,2017,41681
HOU03,Minute Maid Park,2017,42060
KAN06,Kauffman Stadium,2017,37903
LOS03,Dodger Stadium,2017,54500
MIA02,Marlins Park,2017,41418
MIL06,Miller Park,2017,41900
MIN04,Target Field,2017,39021
NYC20,Citi Field,2017,41922
NYC21,New Yankee Stadium,2017,49642
OAK01,Oakland Coliseum,2017,47170
PHI13,Citizens Bank Park,2017,43651
PHO01,Chase Field,2017,48633
PIT08,PNC Park,2017,38362
SAN02,Petco Park,2017,40209
SEA03,Safeco Field,2017,47476
SFO03,AT&T Park,2017,41915
STL10,Busch Stadium III,2017,43975
STP01,Tropicana Field,2017,31042
TOR02,Rogers Centre,2017,49282
WAS11,Nationals Park,2017,41418
WIL02,Bowman Field,2017,2366
ANA01,Angel Stadium of Anaheim,2016,45505
ARL02,Globe Life Park,2016,48114
ATL02,Turner Field,2016,49586
BAL12,Oriole Park at Camden Yards,2016,45971
BOS07,Fenway Park,2016,37949
CHI11,Wrigley Field,2016,41268
CHI12,Guarantee Rate Field,2016,40615
CIN09,Great American Ballpark,2016,42319
CLE08,Progressive Field,2016,37675
DEN02,Coors Field,2016,50398
DET05,Comerica Park,2016,41297
FTB01,Fort Bragg Field,2016,12500
HOU03,Minute Maid Park,2016,41676
KAN06,Kauffman Stadium,2016,37903
LOS03,Dodger Stadium,2016,54500
MIA02,Marlins Park,2016,37442
MIL06,Miller Park,2016,41900
MIN04,Target Field,2016,38871
NYC20,Citi Field,2016,41922
NYC21,New Yankee Stadium,2016,49469
OAK01,Oakland Coliseum,2016,35067
PHI13,Citizens Bank Park,2016,43651
PHO01,Chase Field,2016,48633
PIT08,PNC Park,2016,38362
SAN02,Petco Park,2016,40162
SEA03,Safeco Field,2016,47943
SFO03,AT&T Park,2016,41915
STL10,Busch Stadium III,2016,45538
STP01,Tropicana Field,2016,31042
TOR02,Rogers Centre,2016,49282
WAS11,Nationals Park,2016,41313
ANA01,Angel Stadium of Anaheim,2015,45505
ARL02,Globe Life Park,2015,48114
ATL02,Turner Field,2015,49586
BAL12,Oriole Park at Camden Yards,2015,45971
BOS07,Fenway Park,2015,37499
CHI11,Wrigley Field,2015,41072
CHI12,U.S. Cellular Field,2015,40615
CIN09,Great American Ballpark,2015,42319
CLE08,Progressive Field,2015,42487
DEN02,Coors Field,2015,50398
DET05,Comerica Park,2015,41681
HOU03,Minute Maid Park,2015,42060
KAN06,Kauffman Stadium,2015,37903
LOS03,Dodger Stadium,2015,54500
MIA02,Marlins Park,2015,37442
MIL06,Miller Park,2015,41900
MIN04,Target Field,2015,39021
NYC20,Citi Field,2015,41922
NYC21,New Yankee Stadium,2015,49642
OAK01,Oakland-Alameda County Coliseum,2015,35067
PHI13,Citizens Bank Park,2015,43651
PHO01,Chase Field,2015,48633
PIT08,PNC Park,2015,38362
SAN02,Petco Park,2015,41164
SEA03,Safeco Field,2015,47476
SFO03,AT&T Park,2015,41915
STL10,Busch Stadium III,2015,45399
STP01,Tropicana Field,2015,31042
TOR02,Rogers Centre,2015,49282
WAS11,Nationals Park,2015,41222
ANA01,Angel Stadium of Anaheim,2014,45505
ARL02,Globe Life Park,2014,48114
ATL02,Turner Field,2014,49586
BAL12,Oriole Park at Camden Yards,2014,45971
BOS07,Fenway Park,2014,37499
CHI11,Wrigley Field,2014,41072
CHI12,U.S. Cellular Field,2014,40615
CIN09,Great American Ballpark,2014,42319
CLE08,Progressive Field,2014,42487
DEN02,Coors Field,2014,50480
DET05,Comerica Park,2014,41681
HOU03,Minute Maid Park,2014,42060
KAN06,Kauffman Stadium,2014,37903
LOS03,Dodger Stadium,2014,56000
MIA02,Marlins Park,2014,37442
MIL06,Miller Park,2014,41900
MIN04,Target Field,2014,39021
NYC20,Citi Field,2014,41922
NYC21,New Yankee Stadium,2014,49642
OAK01,Oakland-Alameda County Coliseum,2014,35067
PHI13,Citizens Bank Park,2014,43651
PHO01,Chase Field,2014,48633
