PARKID,Name,City,State
ALB01,Riverside Park,East Albany,NY
ALT01,Columbia Park,Altoona,PA
ANA01,Angel Stadium of Anaheim,Anaheim,CA
ARL01,Arlington Stadium,Arlington,TX
ARL02,Globe Life Park,Arlington,TX
ATL01,Atlanta-Fulton County Stadium,Atlanta,GA
ATL02,Turner Field,Atlanta,GA
ATL03,SunTrust Park,Atlanta,GA
BAL01,Madison Avenue Grounds,Baltimore,MD
BAL02,Newington Park,Baltimore,MD
BAL03,Oriole Park I,Baltimore,MD
BAL04,Belair Lot,Baltimore,MD
BAL05,Monumental Park,Baltimore,MD
BAL06,Oriole Park II,Baltimore,MD
BAL07,Oriole Park III,Baltimore,MD
BAL09,Oriole Park IV,Baltimore,MD
BAL10,Terrapin Park,Baltimore,MD
BAL11,Memorial Stadium,Baltimore,MD
BAL12,Oriole Park at Camden Yards,Baltimore,MD
BOS01,South End Grounds I,Boston,MA
BOS02,Dartmouth Grounds,Boston,MA
BOS03,South End Grounds II,Boston,MA
BOS04,Congress Street Grounds,Boston,MA
BOS05,South End Grounds III,Boston,MA
BOS06,Huntington Avenue Baseball Grounds,Boston,MA
BOS07,Fenway Park,Boston,MA
BOS08,Braves Field,Boston,MA
BUF01,Riverside Grounds,Buffalo,NY
BUF02,Olympic Park I,Buffalo,NY
BUF03,Olympic Park II,Buffalo,NY
BUF04,International Fair Association Grounds,Buffalo,NY
CAN01,Mahaffey Park,Canton,OH
CAN02,Pastime Park,Canton,OH
CHI01,White Stocking Grounds,Chicago,IL
CHI02,23rd Street Park,Chicago,IL
CHI03,White Stocking Park,Chicago,IL
CHI05,South Side Park I,Chicago,IL
CHI06,West Side Park,Chicago,IL
CHI07,South Side Park II,Chicago,IL
CHI08,West Side Grounds,Chicago,IL
CHI09,South Side Park III,Chicago,IL
CHI10,Comiskey Park I,Chicago,IL
CHI11,Wrigley Field,Chicago,IL
CHI12,Guarantee Rate Park,Chicago,IL
CIN01,Lincoln Park Grounds,Cincinnati,OH
CIN02,Avenue Grounds,Cincinnati,OH
CIN03,Bank Street Grounds,Cincinnati,OH
CIN04,League Park I,Cincinnati,OH
CIN05,League Park II,Cincinnati,OH
CIN06,Palace of the Fans,Cincinnati,OH
CIN07,Crosley Field,Cincinnati,OH
CIN08,Riverfront Stadium,Cincinnati,OH
CIN09,Great American Ballpark,Cincinnati,OH
CLE01,National Association Grounds,Cleveland,OH
CLE02,National League Park I,Cleveland,OH
CLE03,National League Park II,Cleveland,OH
CLE04,Brotherhood Park,Cleveland,OH
CLE05,League Park III,Cleveland,OH
CLE06,League Park IV,Cleveland,OH
CLE07,Cleveland Stadium,Cleveland,OH
CLE08,Progressive Field,Cleveland,OH
CLE09,Cedar Avenue Driving Park,Cleveland,OH
CLL01,Euclid Beach Park,Collinwood,OH
COL01,Recreation Park I,Columbus,OH
COL02,Recreation Park II,Columbus,OH
COL03,Neil Park I,Columbus,OH
COL04,Neil Park II,Columbus,OH
COV01,Star Baseball Park,Covington,KY
DAY01,Fairview Park,Dayton,OH
DEN01,Mile High Stadium,Denver,CO
DEN02,Coors Field,Denver,CO
DET01,Recreation Park,Detroit,MI
