City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019
New York, New York,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817
Los Angeles, California,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576
Chicago, Illinois,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976
Houston, Texas,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268
Phoenix, Arizona,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992
Philadelphia, Pennsylvania,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064
San Antonio, Texas,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253
San Diego, California,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851
Dallas, Texas,1200350,1218282,1242115,1258835,1279098,1301329,1323916,1342479,1341802,1343573
San Jose, California,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795
Austin, Texas,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908
Jacksonville, Florida,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507
Fort Worth, Texas,748441,764142,781046,796073,815057,835356,856177,874809,893216,909585
Columbus, Ohio,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553
Charlotte, North Carolina,738444,754829,773264,792047,807400,825668,843117,860002,872514,885708
San Francisco, California,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549
Indianapolis, Indiana,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384
Seattle, Washington,610630,622694,635928,653588,670109,687386,709631,728661,742235,753675
Denver, Colorado,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211
Washington, District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
Boston, Massachusetts,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600
El Paso, Texas,650671,664404,674941,674808,677235,676242,679955,681343,679875,681728
Nashville-Davidson metropolitan government (balance), Tennessee,604589,612518,625550,635999,645259,655498,661765,663587,667006,670820
Detroit, Michigan,711131,705118,700183,691868,682609,679410,677143,674631,672977,670031
Oklahoma City, Oklahoma,582516,590947,600971,612061,621639,632172,639924,642822,647912,655057
Portland, Oregon,585429,595451,604264,609890,620510,631366,642720,647924,650837,654741
Las Vegas, Nevada,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319
Memphis, Tennessee,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073
Louisville/Jefferson County metro government (balance), Kentucky,596482,599920,604246,610471,612634,615372,617583,619728,618495,617638
Baltimore, Maryland,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490
Milwaukee, Wisconsin,594865,597086,598569,599916,600664,600477,596996,593725,591375,590157
Albuquerque, New Mexico,546755,552066,555002,557445,557444,557937,559192,559673,559629,560513
Tucson, Arizona,527160,530709,531880,532945,534800,535607,537528,541377,544858,548073
Fresno, California,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576
Mesa, Arizona,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012
Sacramento, California,467286,470902,474226,478214,482762,488133,494127,500777,507737,513624
Atlanta, Georgia,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811
Kansas City, Missouri,460697,462368,464595,467213,470629,475073,481670,488329,492012,495327
Colorado Springs, Colorado,420685,427434,432782,438146,442361,449572,458714,465167,472567,478221
Omaha, Nebraska,459659,462101,465261,468086,470423,472638,475044,476271,477299,478192
Raleigh, North Carolina,406353,413958,423304,431391,439503,449546,459469,465776,469314,474069
Miami, Florida,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963
Long Beach, California,462431,464512,466873,468000,469109,470128,468719,466646,465865,462628
Virginia Beach, Virginia,438859,442583,445044,447706,448864,450304,450983,449896,449849,449974
Oakland, California,391406,396086,401104,406648,412901,418211,420947,424382,429056,433031
Minneapolis, Minnesota,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606
Tulsa, Oklahoma,392403,393005,394643,398401,399892,403491,404007,402060,400414,401190
Tampa, Florida,337053,342589,348090,355172,362664,371464,380344,391026,397232,399700
Arlington, Texas,365892,370253,375629,378950,382721,388728,394384,397173,398123,398854
New Orleans, Louisiana,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144
Wichita, Kansas,382745,383773,385751,387210,388416,389412,390519,390277,389231,389938
Bakersfield, California,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145
Cleveland, Ohio,395926,392667,391550,391792,390871,389244,387662,385252,383214,381009
Aurora, Colorado,326055,332730,339261,345613,352660,360098,363277,367574,374572,379289
Anaheim, California,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365
