City,State,POPULATION_2010,POPULATION_2011,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,Postal Code
New York,New York,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817,NY
Buffalo,New York,261275,260701,260155,260013,259548,258165,256816,256301,255781,255284,NY
Rochester,New York,210217,210491,210329,210179,209329,208561,207659,206410,206004,205695,NY
Yonkers,New York,196407,197584,198057,198769,199367,199667,200077,199873,199883,200370,NY
Syracuse,New York,145215,144526,144414,145044,144331,143816,143176,142287,142745,142327,NY
Albany,New York,97753,97956,98409,98488,98366,98232,97941,97735,97011,96460,NY
New Rochelle,New York,77233,77701,78328,79265,79342,79419,79455,79084,78822,78557,NY
Mount Vernon,New York,67399,67751,67844,68133,68213,68281,68245,67966,67655,67345,NY
Schenectady,New York,66151,66098,66087,65829,65846,65538,65076,65300,65345,65273,NY
Utica,New York,62209,62036,61886,61680,61289,60912,60618,60374,60040,59750,NY
White Plains,New York,56946,57183,57255,57647,57733,58020,58000,58388,58141,58109,NY
Hempstead village,New York,54081,54187,54982,55476,55488,55407,55367,55363,55246,55113,NY
Troy,New York,50081,50020,49848,49921,49968,49776,49597,49433,49354,49154,NY
Niagara Falls,New York,49996,49760,49526,49328,49083,48769,48526,48249,48012,47720,NY
Los Angeles,California,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576,CA
San Diego,California,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851,CA
San Jose,California,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795,CA
San Francisco,California,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,CA
Fresno,California,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576,CA
Sacramento,California,467286,470902,474226,478214,482762,488133,494127,500777,507737,513624,CA
Long Beach,California,462431,464512,466873,468000,469109,470128,468719,466646,465865,462628,CA
Oakland,California,391406,396086,401104,406648,412901,418211,420947,424382,429056,433031,CA
Bakersfield,California,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145,CA
Anaheim,California,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365,CA
Santa Ana,California,325327,328227,330550,333716,333431,333417,333765,332627,331912,332318,CA
Riverside,California,305466,309472,312323,315510,317702,320483,323684,326882,329654,331360,CA
