TeamID,City,Nickname
ALT,Altoona,Pride
ANA,Anaheim,Angels
ARI,Arizona,Diamondbacks
ATL,Atlanta,Braves
BAL,Baltimore,Orioles
BFN,Buffalo,Bisons
BFP,Buffalo,Bisons
BL1,Baltimore,Lord Baltimores
BL2,Baltimore,Orioles
BL3,Baltimore,Orioles
BL4,Baltimore,Marylands
BL5,Baltimore,Baseball Club
BLA,Baltimore,Orioles
BLF,Baltimore,Terrapins
BLN,Baltimore,Orioles
BLU,Baltimore,Unions
BOS,Boston,Red Sox
BR1,Brooklyn,Eckfords
BR2,Brooklyn,Atlantics
BR3,Brooklyn,Dodgers
BR4,Brooklyn,Gladiators
BRF,Brooklyn,Feds
BRO,Brooklyn,Dodgers
BRP,Brooklyn,Wonders
BS1,Boston,Braves
BS2,Boston,Reds
BSN,Boston,Braves
BSP,Boston,Reds
BSU,Boston,Unions
BUF,Buffalo,Feds
CAL,California,Angels
CH1,Chicago,White Stockings
CH2,Chicago,White Stockings
CHA,Chicago,White Sox
CHF,Chicago,Whales
CHN,Chicago,Cubs
CHP,Chicago,Pirates
CHU,Chicago,Unions
CIN,Cincinnati,Reds
CL1,Cleveland,Forest Cities
CL2,Cleveland,Spiders
CL3,Cleveland,Spiders
CL4,Cleveland,Spiders
CL5,Columbus,Colts
CL6,Columbus,Colts
CLE,Cleveland,Indians
CLP,Cleveland,Infants
CN1,Cincinnati,Reds
CN2,Cincinnati,Reds
CN3,Cincinnati,Kelly's Killers
CN4,Cincinnati,Cincinnatis
CNU,Cincinnati,Outlaw Reds
COL,Colorado,Rockies
DET,Detroit,Tigers
DTN,Detroit,Wolverines
ELI,Elizabeth,Resolutes
FLO,Florida,Marlins
FW1,Ft. Wayne,Kekiongas
HAR,Hartford,Dark Blues
HOU,Houston,Astros
HR1,Hartford,Dark Blues
IN1,Indianapolis,Blues
IN2,Indianapolis,Blues
IN3,Indianapolis,Hoosiers
IND,Indianapolis,Hoosier-Feds
KC1,Kansas City,Athletics
KC2,Kansas City,Blues
KCA,Kansas City,Royals
KCF,Kansas City,Packers
KCN,Kansas City,Cowboys
KCU,Kansas City,Unions
KEO,Keokuk,Westerns
LAA,Anaheim,Angels
LAN,Los Angeles,Dodgers
LS1,Louisville,Grays
LS2,Louisville,Colonels
LS3,Louisville,Colonels
MIA,Miami,Marlins
MID,Middletown,Mansfields
MIN,Minnesota,Twins
ML1,Milwaukee,Braves
ML2,Milwaukee,Cream Citys
ML3,Milwaukee,Brewers
ML4,Milwaukee,Brewers
MLA,Milwaukee,Brewers
MLU,Milwaukee,Unions
MON,Montreal,Expos
NEW,Newark,Peppers
NH1,New Haven,New Havens
NY1,New York,Giants
NY2,New York,Mutuals
NY3,New York,Mutuals
NY4,New York,Metropolitans
NYA,New York,Yankees
NYN,New York,Mets
NYP,New York,Giants
OAK,Oakland,Athletics
PH1,Philadelphia,Athletics
PH2,Philadelphia,White Stockings
PH3,Philadelphia,Centennials
PH4,Philadelphia,Athletics
PHA,Philadelphia,Athletics
PHI,Philadelphia,Phillies
PHN,Philadelphia,Athletics
PHP,Philadelphia,Quakers
PHQ,Philadelphia,Athletics
PHU,Philadelphia,Keystones
PIT,Pittsburgh,Pirates
PRO,Providence,Grays
PT1,Pittsburgh,Pirates
PTF,Pittsburgh,Rebels
PTP,Pittsburgh,Burghers
RC1,Rockford,Forest Citys
RC2,Rochester,Hop Bitters
RIC,Richmond,Virginias
SDN,San Diego,Padres
SE1,Seattle,Pilots
SEA,Seattle,Mariners
SFN,San Francisco,Giants
SL1,St. Louis,Red Stockings
SL2,St. Louis,Brown Stockings
SL3,St. Louis,Brown Stockings
SL4,St. Louis,Cardinals
SL5,St. Louis,Maroons
SLA,St. Louis,Browns
SLF,St. Louis,Terriers
SLN,St. Louis,Cardinals
SLU,St. Louis,Maroons
SPU,St. Paul,Saints
SR1,Syracuse,Stars
SR2,Syracuse,Stars
TBA,Tampa Bay,Devil Rays
TEX,Texas,Rangers
TL1,Toledo,Blue Stockings
TL2,Toledo,Maumees
TOR,Toronto,Blue Jays
TRN,Troy,Trojans
TRO,Troy,Haymakers
WAS,Washington,Nationals
WIL,Wilmington,Quicksteps
WOR,Worcester,Ruby Legs
WS1,Washington,Senators
WS2,Washington,Senators
WS3,Washington,Olympics
WS4,Washington,Nationals
WS5,Washington,Nationals
WS6,Washington,Olympics
WS7,Washington,Nationals
WS8,Washington,Senators
WS9,Washington,Senators
WSN,Washington,Senators
WSU,Washington,Nationals
